onset	duration	trial_type	value	sample
0.0	0.001	New Segment/	1	0
14.797	0.001	Stimulus/S 98	5	14797
27.796	0.001	Stimulus/S 95	4	27796
29.325	0.001	Stimulus/S 11	2	29325
30.333	0.001	Stimulus/S112	8	30333
31.35	0.001	Stimulus/S212	24	31350
37.875	0.001	Stimulus/S 95	4	37875
39.401	0.001	Stimulus/S 11	2	39401
40.41	0.001	Stimulus/S114	10	40410
41.427	0.001	Stimulus/S214	26	41427
47.639	0.001	Stimulus/S 95	4	47639
49.169	0.001	Stimulus/S 11	2	49169
50.178	0.001	Stimulus/S111	7	50178
51.195	0.001	Stimulus/S211	23	51195
57.666	0.001	Stimulus/S 95	4	57666
59.196	0.001	Stimulus/S 21	3	59196
60.205	0.001	Stimulus/S125	19	60205
61.222	0.001	Stimulus/S225	35	61222
66.075	0.001	Stimulus/S 95	4	66075
67.598	0.001	Stimulus/S 21	3	67598
68.606	0.001	Stimulus/S128	22	68606
69.623	0.001	Stimulus/S228	38	69623
74.858	0.001	Stimulus/S 95	4	74858
76.383	0.001	Stimulus/S 11	2	76383
77.391	0.001	Stimulus/S111	7	77391
78.408	0.001	Stimulus/S211	23	78408
88.229	0.001	Stimulus/S 95	4	88229
89.752	0.001	Stimulus/S 11	2	89752
90.76	0.001	Stimulus/S114	10	90760
91.777	0.001	Stimulus/S214	26	91777
102.833	0.001	Stimulus/S 95	4	102833
104.363	0.001	Stimulus/S 21	3	104363
105.371	0.001	Stimulus/S128	22	105371
106.388	0.001	Stimulus/S228	38	106388
114.707	0.001	Stimulus/S 95	4	114707
116.231	0.001	Stimulus/S 21	3	116231
117.24	0.001	Stimulus/S123	17	117240
118.257	0.001	Stimulus/S223	33	118257
122.957	0.001	Stimulus/S 95	4	122957
124.483	0.001	Stimulus/S 11	2	124483
125.491	0.001	Stimulus/S118	14	125491
126.508	0.001	Stimulus/S218	30	126508
131.215	0.001	Stimulus/S 95	4	131215
132.743	0.001	Stimulus/S 21	3	132743
133.751	0.001	Stimulus/S121	15	133751
134.768	0.001	Stimulus/S221	31	134768
139.855	0.001	Stimulus/S 95	4	139855
141.386	0.001	Stimulus/S 21	3	141386
142.394	0.001	Stimulus/S124	18	142394
143.411	0.001	Stimulus/S224	34	143411
149.171	0.001	Stimulus/S 95	4	149171
150.696	0.001	Stimulus/S 21	3	150696
151.704	0.001	Stimulus/S128	22	151704
152.721	0.001	Stimulus/S228	38	152721
157.378	0.001	Stimulus/S 95	4	157378
158.906	0.001	Stimulus/S 11	2	158906
159.914	0.001	Stimulus/S118	14	159914
160.931	0.001	Stimulus/S218	30	160931
166.372	0.001	Stimulus/S 95	4	166372
167.899	0.001	Stimulus/S 11	2	167899
168.907	0.001	Stimulus/S117	13	168907
169.924	0.001	Stimulus/S217	29	169924
174.584	0.001	Stimulus/S 95	4	174584
176.109	0.001	Stimulus/S 21	3	176109
177.117	0.001	Stimulus/S126	20	177117
178.134	0.001	Stimulus/S226	36	178134
183.242	0.001	Stimulus/S 95	4	183242
184.768	0.001	Stimulus/S 21	3	184768
185.777	0.001	Stimulus/S127	21	185777
186.794	0.001	Stimulus/S227	37	186794
191.525	0.001	Stimulus/S 95	4	191525
193.053	0.001	Stimulus/S 21	3	193053
194.062	0.001	Stimulus/S125	19	194062
195.079	0.001	Stimulus/S225	35	195079
199.28	0.001	Stimulus/S 95	4	199280
200.805	0.001	Stimulus/S 21	3	200805
201.813	0.001	Stimulus/S124	18	201813
202.83	0.001	Stimulus/S224	34	202830
207.057	0.001	Stimulus/S 95	4	207057
208.581	0.001	Stimulus/S 11	2	208581
209.59	0.001	Stimulus/S116	12	209590
210.607	0.001	Stimulus/S216	28	210607
215.028	0.001	Stimulus/S 95	4	215028
216.557	0.001	Stimulus/S 21	3	216557
217.566	0.001	Stimulus/S125	19	217566
218.583	0.001	Stimulus/S225	35	218583
224.438	0.001	Stimulus/S 95	4	224438
225.967	0.001	Stimulus/S 21	3	225967
226.976	0.001	Stimulus/S122	16	226976
