onset	duration	trial_type	value	sample
0.0	0.001	New Segment/	2	0
1.22	0.001	New Segment/	2	1220
8.219	0.001	Stimulus/S 95	6	8219
9.744	0.001	Stimulus/S 21	5	9744
10.752	0.001	Stimulus/S128	23	10752
11.769	0.001	Stimulus/S228	39	11769
15.108	0.001	Stimulus/S 95	6	15108
16.636	0.001	Stimulus/S 21	5	16636
17.645	0.001	Stimulus/S123	18	17645
18.662	0.001	Stimulus/S223	34	18662
21.982	0.001	Stimulus/S 95	6	21982
23.513	0.001	Stimulus/S 21	5	23513
24.521	0.001	Stimulus/S128	23	24521
25.538	0.001	Stimulus/S228	39	25538
28.662	0.001	Stimulus/S 95	6	28662
30.189	0.001	Stimulus/S 11	4	30189
31.197	0.001	Stimulus/S113	10	31197
32.214	0.001	Stimulus/S213	26	32214
35.671	0.001	Stimulus/S 95	6	35671
37.198	0.001	Stimulus/S 21	5	37198
38.207	0.001	Stimulus/S122	17	38207
39.224	0.001	Stimulus/S222	33	39224
42.439	0.001	Stimulus/S 95	6	42439
43.966	0.001	Stimulus/S 21	5	43966
44.975	0.001	Stimulus/S124	19	44975
45.992	0.001	Stimulus/S224	35	45992
49.069	0.001	Stimulus/S 95	6	49069
50.592	0.001	Stimulus/S 21	5	50592
51.601	0.001	Stimulus/S121	16	51601
52.618	0.001	Stimulus/S221	32	52618
56.886	0.001	Stimulus/S 95	6	56886
58.411	0.001	Stimulus/S 21	5	58411
59.419	0.001	Stimulus/S124	19	59419
60.436	0.001	Stimulus/S224	35	60436
63.693	0.001	Stimulus/S 95	6	63693
65.22	0.001	Stimulus/S 11	4	65220
66.229	0.001	Stimulus/S115	12	66229
67.246	0.001	Stimulus/S215	28	67246
70.291	0.001	Stimulus/S 95	6	70291
71.821	0.001	Stimulus/S 21	5	71821
72.83	0.001	Stimulus/S126	21	72830
73.847	0.001	Stimulus/S226	37	73847
76.948	0.001	Stimulus/S 95	6	76948
78.472	0.001	Stimulus/S 11	4	78472
79.481	0.001	Stimulus/S112	9	79481
80.498	0.001	Stimulus/S212	25	80498
83.772	0.001	Stimulus/S 95	6	83772
85.299	0.001	Stimulus/S 21	5	85299
86.307	0.001	Stimulus/S126	21	86307
87.324	0.001	Stimulus/S226	37	87324
90.921	0.001	Stimulus/S 95	6	90921
92.45	0.001	Stimulus/S 11	4	92450
93.458	0.001	Stimulus/S116	13	93458
94.475	0.001	Stimulus/S216	29	94475
97.839	0.001	Stimulus/S 95	6	97839
99.368	0.001	Stimulus/S 21	5	99368
100.376	0.001	Stimulus/S125	20	100376
101.393	0.001	Stimulus/S225	36	101393
104.73	0.001	Stimulus/S 95	6	104730
106.261	0.001	Stimulus/S 11	4	106261
107.269	0.001	Stimulus/S113	10	107269
108.286	0.001	Stimulus/S213	26	108286
111.896	0.001	Stimulus/S 95	6	111896
113.42	0.001	Stimulus/S 11	4	113420
114.429	0.001	Stimulus/S115	12	114429
115.446	0.001	Stimulus/S215	28	115446
118.967	0.001	Stimulus/S 95	6	118967
120.497	0.001	Stimulus/S 21	5	120497
121.505	0.001	Stimulus/S123	18	121505
122.522	0.001	Stimulus/S223	34	122522
126.013	0.001	Stimulus/S 95	6	126013
127.54	0.001	Stimulus/S 21	5	127540
128.548	0.001	Stimulus/S126	21	128548
129.565	0.001	Stimulus/S226	37	129565
133.709	0.001	Stimulus/S 95	6	133709
135.233	0.001	Stimulus/S 11	4	135233
136.241	0.001	Stimulus/S118	15	136241
137.258	0.001	Stimulus/S218	31	137258
147.479	0.001	Stimulus/S 95	6	147479
149.002	0.001	Stimulus/S 21	5	149002
150.01	0.001	Stimulus/S127	22	150010
151.027	0.001	Stimulus/S227	38	151027
178.156	0.001	Stimulus/S 95	6	178156
179.682	0.001	Stimulus/S 11	4	179682
180.691	0.001	Stimulus/S114	11	180691
181.708	0.001	Stimulus/S214	27	181708
192.74	0.001	Stimulus/S 95	6	192740
194.268	0.001	Stimulus/S 21	5	194268
195.277	0.001	Stimulus/S127	22	195277
196.294	0.001	Stimulus/S227	38	196294
236.187	0.001	Stimulus/S 95	6	236187
237.717	0.001	Stimulus/S 11	4	237717
238.726	0.001	Stimulus/S113	10	238726
239.743	0.001	Stimulus/S213	26	239743
267.841	0.001	Stimulus/S 95	6	267841
269.365	0.001	Stimulus/S 11	4	269365
270.373	0.001	Stimulus/S118	15	270373
271.39	0.001	Stimulus/S218	31	271390
311.139	0.001	Stimulus/S 95	6	311139
312.664	0.001	Stimulus/S 11	4	312664
313.673	0.001	Stimulus/S118	15	313673
314.69	0.001	Stimulus/S218	31	314690
319.122	0.001	Stimulus/S 95	6	319122
320.649	0.001	Stimulus/S 11	4	320649
321.657	0.001	Stimulus/S113	10	321657
322.674	0.001	Stimulus/S213	26	322674
327.258	0.001	Stimulus/S 95	6	327258
328.784	0.001	Stimulus/S 21	5	328784
329.792	0.001	Stimulus/S122	17	329792
330.809	0.001	Stimulus/S222	33	330809
335.555	0.001	Stimulus/S 95	6	335555
337.085	0.001	Stimulus/S 11	4	337085
338.094	0.001	Stimulus/S118	15	338094
339.111	0.001	Stimulus/S218	31	339111
343.711	0.001	Stimulus/S 95	6	343711
345.237	0.001	Stimulus/S 11	4	345237
346.245	0.001	Stimulus/S115	12	346245
