onset	duration	trial_type	value	sample
0.0	0.001	New Segment/	1	0
1.62	0.001	New Segment/	1	1620
9.419	0.001	Stimulus/S 98	5	9419
33.269	0.001	Stimulus/S 95	4	33269
34.8	0.001	Stimulus/S 21	3	34800
35.809	0.001	Stimulus/S126	20	35809
36.826	0.001	Stimulus/S226	36	36826
41.349	0.001	Stimulus/S 95	4	41349
42.876	0.001	Stimulus/S 21	3	42876
43.885	0.001	Stimulus/S123	17	43885
44.902	0.001	Stimulus/S223	33	44902
48.432	0.001	Stimulus/S 95	4	48432
49.961	0.001	Stimulus/S 21	3	49961
50.969	0.001	Stimulus/S123	17	50969
51.986	0.001	Stimulus/S223	33	51986
56.915	0.001	Stimulus/S 95	4	56915
58.446	0.001	Stimulus/S 21	3	58446
59.454	0.001	Stimulus/S127	21	59454
60.471	0.001	Stimulus/S227	37	60471
63.661	0.001	Stimulus/S 95	4	63661
65.189	0.001	Stimulus/S 11	2	65189
66.197	0.001	Stimulus/S114	10	66197
67.214	0.001	Stimulus/S214	26	67214
70.189	0.001	Stimulus/S 95	4	70189
71.715	0.001	Stimulus/S 11	2	71715
72.723	0.001	Stimulus/S111	7	72723
73.74	0.001	Stimulus/S211	23	73740
78.048	0.001	Stimulus/S 95	4	78048
79.574	0.001	Stimulus/S 11	2	79574
80.583	0.001	Stimulus/S117	13	80583
81.6	0.001	Stimulus/S217	29	81600
84.674	0.001	Stimulus/S 95	4	84674
86.201	0.001	Stimulus/S 21	3	86201
87.209	0.001	Stimulus/S127	21	87209
88.226	0.001	Stimulus/S227	37	88226
91.649	0.001	Stimulus/S 95	4	91649
93.177	0.001	Stimulus/S 11	2	93177
94.185	0.001	Stimulus/S111	7	94185
95.202	0.001	Stimulus/S211	23	95202
98.455	0.001	Stimulus/S 95	4	98455
99.978	0.001	Stimulus/S 21	3	99978
100.987	0.001	Stimulus/S123	17	100987
102.004	0.001	Stimulus/S223	33	102004
106.21	0.001	Stimulus/S 95	4	106210
107.738	0.001	Stimulus/S 21	3	107738
108.746	0.001	Stimulus/S124	18	108746
109.763	0.001	Stimulus/S224	34	109763
113.025	0.001	Stimulus/S 95	4	113025
114.547	0.001	Stimulus/S 21	3	114547
115.556	0.001	Stimulus/S122	16	115556
116.573	0.001	Stimulus/S222	32	116573
120.712	0.001	Stimulus/S 95	4	120712
122.24	0.001	Stimulus/S 11	2	122240
123.249	0.001	Stimulus/S116	12	123249
124.266	0.001	Stimulus/S216	28	124266
128.715	0.001	Stimulus/S 95	4	128715
130.242	0.001	Stimulus/S 21	3	130242
131.25	0.001	Stimulus/S128	22	131250
132.267	0.001	Stimulus/S228	38	132267
137.045	0.001	Stimulus/S 95	4	137045
138.568	0.001	Stimulus/S 21	3	138568
139.577	0.001	Stimulus/S125	19	139577
140.594	0.001	Stimulus/S225	35	140594
143.433	0.001	Stimulus/S 95	4	143433
144.961	0.001	Stimulus/S 11	2	144961
145.97	0.001	Stimulus/S114	10	145970
146.987	0.001	Stimulus/S214	26	146987
150.196	0.001	Stimulus/S 95	4	150196
151.721	0.001	Stimulus/S 11	2	151721
152.729	0.001	Stimulus/S113	9	152729
153.746	0.001	Stimulus/S213	25	153746
158.231	0.001	Stimulus/S 95	4	158231
159.755	0.001	Stimulus/S 21	3	159755
160.764	0.001	Stimulus/S124	18	160764
161.781	0.001	Stimulus/S224	34	161781
164.989	0.001	Stimulus/S 95	4	164989
166.515	0.001	Stimulus/S 21	3	166515
167.523	0.001	Stimulus/S127	21	167523
168.54	0.001	Stimulus/S227	37	168540
171.381	0.001	Stimulus/S 95	4	171381
172.908	0.001	Stimulus/S 21	3	172908
173.916	0.001	Stimulus/S122	16	173916
174.933	0.001	Stimulus/S222	32	174933
179.496	0.001	Stimulus/S 95	4	179496
181.026	0.001	Stimulus/S 11	2	181026
182.034	0.001	Stimulus/S112	8	182034
183.051	0.001	Stimulus/S212	24	183051
186.002	0.001	Stimulus/S 95	4	186002
187.527	0.001	Stimulus/S 21	3	187527
188.535	0.001	Stimulus/S123	17	188535
189.552	0.001	Stimulus/S223	33	189552
193.681	0.001	Stimulus/S 95	4	193681
195.212	0.001	Stimulus/S 11	2	195212
196.22	0.001	Stimulus/S112	8	196220
197.237	0.001	Stimulus/S212	24	197237
202.073	0.001	Stimulus/S 95	4	202073
203.597	0.001	Stimulus/S 21	3	203597
204.605	0.001	Stimulus/S125	19	204605
205.622	0.001	Stimulus/S225	35	205622
209.855	0.001	Stimulus/S 95	4	209855
211.381	0.001	Stimulus/S 11	2	211381
212.39	0.001	Stimulus/S117	13	212390
213.407	0.001	Stimulus/S217	29	213407
216.893	0.001	Stimulus/S 95	4	216893
218.416	0.001	Stimulus/S 21	3	218416
219.424	0.001	Stimulus/S125	19	219424
220.441	0.001	Stimulus/S225	35	220441
223.684	0.001	Stimulus/S 95	4	223684
225.209	0.001	Stimulus/S 11	2	225209
226.217	0.001	Stimulus/S118	14	226217
227.234	0.001	Stimulus/S218	30	227234
231.579	0.001	Stimulus/S 95	4	231579
233.102	0.001	Stimulus/S 21	3	233102
234.11	0.001	Stimulus/S128	22	234110
235.127	0.001	Stimulus/S228	38	235127
238.034	0.001	Stimulus/S 95	4	238034
239.561	0.001	Stimulus/S 11	2	239561
240.57	0.001	Stimulus/S113	9	240570
241.587	0.001	Stimulus/S213	25	241587
244.558	0.001	Stimulus/S 95	4	244558
246.087	0.001	Stimulus/S 11	2	246087
247.096	0.001	Stimulus/S111	7	247096
248.113	0.001	Stimulus/S211	23	248113
252.648	0.001	Stimulus/S 95	4	252648
254.172	0.001	Stimulus/S 11	2	254172
255.181	0.001	Stimulus/S114	10	255181
256.198	0.001	Stimulus/S214	26	256198
260.748	0.001	Stimulus/S 95	4	260748
262.274	0.001	Stimulus/S 11	2	262274
263.282	0.001	Stimulus/S115	11	263282
